ano;uf;municipio;codigo_ibge;diagnostico;casos;rebanho
2022;MG;São Francisco;3161106;Actinomicose (notificação Sif);4;147518
2022;MG;São Francisco;3161106;Cisticercose Bovina;11;147518
2022;MG;São Francisco;3161106;Lesões Tuberculósicas;2;147518
2022;MG;São Francisco;3161106;Tuberculose (notificação Sif);1;147518
2022;MG;São Francisco de Paula;3161205;Equinococose/hidatidose (notificaçao Sif);1;16622
2022;MG;São Francisco de Sales;3161304;Cisticercose Bovina;78;80856
2022;MG;São Francisco de Sales;3161304;Euritrematose (ruminantes);2;80856
2022;MG;São Francisco de Sales;3161304;Fasciolose Hepática (notificação Sif);2;80856
2022;MG;São Francisco de Sales;3161304;Lesões Tuberculósicas;7;80856
2022;MG;São Francisco de Sales;3161304;Tuberculose (notificação Sif);1;80856
2022;MG;São Francisco do Glória;3161403;Cisticercose Bovina;1;12936
2022;MG;São Geraldo;3161502;Fasciolose Hepática (notificação Sif);5;10238
2022;MG;São Geraldo da Piedade;3161601;Miíase Cutânea;1;10230
2022;MG;São Geraldo do Baixio;3161650;Actinomicose (notificação Sif);8;15484
2022;MG;São Geraldo do Baixio;3161650;Cisticercose Bovina;1;15484
2022;MG;São Geraldo do Baixio;3161650;Equinococose/hidatidose (notificaçao Sif);2;15484
2022;MG;São Geraldo do Baixio;3161650;Fígado Amarelo;2;15484
2022;MG;São Geraldo do Baixio;3161650;Miíase Cutânea;3;15484
2022;MG;São Geraldo do Baixio;3161650;Tuberculose (notificação Sif);1;15484
2022;MG;São Gonçalo do Abaeté;3161700;Actinomicose (notificação Sif);2;44264
2022;MG;São Gonçalo do Abaeté;3161700;Cisticercose Bovina;17;44264
2022;MG;São Gonçalo do Abaeté;3161700;Lesões Tuberculósicas;4;44264
2022;MG;São Gonçalo do Pará;3161809;Cisticercose Bovina;1;18027
2022;MG;São Gonçalo do Pará;3161809;Fígado Amarelo;1;18027
2022;MG;São Gonçalo do Pará;3161809;Lesões Tuberculósicas;1;18027
2022;MG;São Gonçalo do Pará;3161809;Miíase Cutânea;1;18027
2022;MG;São Gonçalo do Rio Abaixo;3161908;Fasciolose Hepática (notificação Sif);1;12757
2022;MG;São Gonçalo do Sapucaí;3162005;Cisticercose Bovina;1;30673
2022;MG;São Gonçalo do Sapucaí;3162005;Euritrematose (ruminantes);1;30673
2022;MG;São Gonçalo do Sapucaí;3162005;Fasciolose Hepática (notificação Sif);4;30673
2022;MG;São Gonçalo do Sapucaí;3162005;Fígado Amarelo;1;30673
2022;MG;São Gonçalo do Sapucaí;3162005;Lesões Tuberculósicas;1;30673
2022;MG;São Gonçalo do Sapucaí;3162005;Miíase Cutânea;1;30673
2022;MG;São Gotardo;3162104;Cisticercose Bovina;11;60038
2022;MG;São Gotardo;3162104;Lesões Tuberculósicas;4;60038
2022;MG;São Gotardo;3162104;Miíase Cutânea;1;60038
2022;MG;São Gotardo;3162104;Tuberculose (notificação Sif);1;60038
2022;MG;São João Batista do Glória;3162203;Cisticercose Bovina;2;27926
2022;MG;São João Batista do Glória;3162203;Euritrematose (ruminantes);8;27926
2022;MG;São João Batista do Glória;3162203;Lesões Tuberculósicas;1;27926
