codigo_ibge;uf;municipio;ano;cabecas
1707702;TO;Filadélfia;2021;116350
1708205;TO;Formoso do Araguaia;2021;303560
1708254;TO;Tabocão;2021;71090
1708304;TO;Goianorte;2021;107955
1709005;TO;Goiatins;2021;70736
1709302;TO;Guaraí;2021;140867
1709500;TO;Gurupi;2021;117019
1709807;TO;Ipueiras;2021;23710
1710508;TO;Itacajá;2021;92229
1710706;TO;Itaguatins;2021;63248
1710904;TO;Itapiratins;2021;65438
1711100;TO;Itaporã do Tocantins;2021;110598
1711506;TO;Jaú do Tocantins;2021;120990
1711803;TO;Juarina;2021;33176
1711902;TO;Lagoa da Confusão;2021;107232
1711951;TO;Lagoa do Tocantins;2021;15548
1712009;TO;Lajeado;2021;8259
1712157;TO;Lavandeira;2021;27070
1712405;TO;Lizarda;2021;20061
1712454;TO;Luzinópolis;2021;10903
1712504;TO;Marianópolis do Tocantins;2021;91091
1712702;TO;Mateiros;2021;8842
1712801;TO;Maurilândia do Tocantins;2021;24101
1713205;TO;Miracema do Tocantins;2021;160195
1713304;TO;Miranorte;2021;81441
1713601;TO;Monte do Carmo;2021;84558
1713700;TO;Monte Santo do Tocantins;2021;89506
1713809;TO;Palmeiras do Tocantins;2021;39041
1713957;TO;Muricilândia;2021;81392
1714203;TO;Natividade;2021;98927
1714302;TO;Nazaré;2021;24592
1714880;TO;Nova Olinda;2021;89707
1715002;TO;Nova Rosalândia;2021;22253
1715101;TO;Novo Acordo;2021;14400
1715150;TO;Novo Alegre;2021;26322
1715259;TO;Novo Jardim;2021;13914
1715507;TO;Oliveira de Fátima;2021;12735
1715705;TO;Palmeirante;2021;73557
1715754;TO;Palmeirópolis;2021;79003
1716109;TO;Paraíso do Tocantins;2021;107272
1716208;TO;Paranã;2021;182860
1716307;TO;Pau D'Arco;2021;92120
1716505;TO;Pedro Afonso;2021;27440
1716604;TO;Peixe;2021;257568
1716653;TO;Pequizeiro;2021;98622
1716703;TO;Colméia;2021;103021
1717008;TO;Pindorama do Tocantins;2021;62723
1717206;TO;Piraquê;2021;107996
1717503;TO;Pium;2021;197447
1717800;TO;Ponte Alta do Bom Jesus;2021;42212
1717909;TO;Ponte Alta do Tocantins;2021;86081
1718006;TO;Porto Alegre do Tocantins;2021;11075
1718204;TO;Porto Nacional;2021;139451
1718303;TO;Praia Norte;2021;26637
1718402;TO;Presidente Kennedy;2021;48714
1718451;TO;Pugmil;2021;18960
1718501;TO;Recursolândia;2021;46286
1718550;TO;Riachinho;2021;39896
1718659;TO;Rio da Conceição;2021;1660
1718709;TO;Rio dos Bois;2021;16982
1718758;TO;Rio Sono;2021;61364
1718808;TO;Sampaio;2021;10766
1718840;TO;Sandolândia;2021;205533
1718865;TO;Santa Fé do Araguaia;2021;117063
1718881;TO;Santa Maria do Tocantins;2021;33189
1718899;TO;Santa Rita do Tocantins;2021;109180
1718907;TO;Santa Rosa do Tocantins;2021;37766
1719004;TO;Santa Tereza do Tocantins;2021;24589
1720002;TO;Santa Terezinha do Tocantins;2021;24589
1720101;TO;São Bento do Tocantins;2021;32686
1720150;TO;São Félix do Tocantins;2021;3886
1720200;TO;São Miguel do Tocantins;2021;22627
1720259;TO;São Salvador do Tocantins;2021;37358
1720309;TO;São Sebastião do Tocantins;2021;28424
1720499;TO;São Valério;2021;57114
1720655;TO;Silvanópolis;2021;38905
1720804;TO;Sítio Novo do Tocantins;2021;43691
1720853;TO;Sucupira;2021;65665
1720903;TO;Taguatinga;2021;126197
1720937;TO;Taipas do Tocantins;2021;26353
1720978;TO;Talismã;2021;123900
1721000;TO;Palmas;2021;32849
1721109;TO;Tocantínia;2021;19783
1721208;TO;Tocantinópolis;2021;22478
1721257;TO;Tupirama;2021;23800
1721307;TO;Tupiratins;2021;16910
1722081;TO;Wanderlândia;2021;40542
1722107;TO;Xambioá;2021;98168
2100055;MA;Açailândia;2021;348427
2100105;MA;Afonso Cunha;2021;1360
2100154;MA;Água Doce do Maranhão;2021;1750
2100204;MA;Alcântara;2021;4198
2100303;MA;Aldeias Altas;2021;5190
2100402;MA;Altamira do Maranhão;2021;43757
2100436;MA;Alto Alegre do Maranhão;2021;19304
2100477;MA;Alto Alegre do Pindaré;2021;61870
2100501;MA;Alto Parnaíba;2021;47956
2100550;MA;Amapá do Maranhão;2021;11846
2100600;MA;Amarante do Maranhão;2021;285734
2100709;MA;Anajatuba;2021;52996
2100808;MA;Anapurus;2021;1720
2100832;MA;Apicum-Açu;2021;2234
2100873;MA;Araguanã;2021;21430
2100907;MA;Araioses;2021;9723
2100956;MA;Arame;2021;157668
2101004;MA;Arari;2021;39560
2101103;MA;Axixá;2021;500
2101202;MA;Bacabal;2021;122225
2101251;MA;Bacabeira;2021;4820
2101301;MA;Bacuri;2021;4859
2101350;MA;Bacurituba;2021;6843
2101400;MA;Balsas;2021;84295
2101509;MA;Barão de Grajaú;2021;13706
2101608;MA;Barra do Corda;2021;142268
2101707;MA;Barreirinhas;2021;8679
2101731;MA;Belágua;2021;285
2101772;MA;Bela Vista do Maranhão;2021;8560
2101806;MA;Benedito Leite;2021;16567
2101905;MA;Bequimão;2021;7577
2101939;MA;Bernardo do Mearim;2021;17607
2101970;MA;Boa Vista do Gurupi;2021;7157
2102002;MA;Bom Jardim;2021;163045
2102036;MA;Bom Jesus das Selvas;2021;142802
2102077;MA;Bom Lugar;2021;56120
2102101;MA;Brejo;2021;9800
2102150;MA;Brejo de Areia;2021;30062
2102200;MA;Buriti;2021;7540
2102309;MA;Buriti Bravo;2021;36837
2102325;MA;Buriticupu;2021;149985
2102358;MA;Buritirana;2021;74989
2102374;MA;Cachoeira Grande;2021;1200
2102408;MA;Cajapió;2021;5180
2102507;MA;Cajari;2021;13150
2102556;MA;Campestre do Maranhão;2021;52465
2102606;MA;Cândido Mendes;2021;4895
2102705;MA;Cantanhede;2021;7666
2102754;MA;Capinzal do Norte;2021;22501
2102804;MA;Carolina;2021;112246
2102903;MA;Carutapera;2021;14760
2103000;MA;Caxias;2021;42750
2103109;MA;Cedral;2021;784
2103125;MA;Central do Maranhão;2021;2793
2103158;MA;Centro do Guilherme;2021;27214
2103174;MA;Centro Novo do Maranhão;2021;94245
2103208;MA;Chapadinha;2021;15850
2103257;MA;Cidelândia;2021;100430
2103307;MA;Codó;2021;119470
2103406;MA;Coelho Neto;2021;6150
2103505;MA;Colinas;2021;74548
2103554;MA;Conceição do Lago-Açu;2021;21035
2103604;MA;Coroatá;2021;47940
2103703;MA;Cururupu;2021;1708
2103752;MA;Davinópolis;2021;23714
2103802;MA;Dom Pedro;2021;21279
2103901;MA;Duque Bacelar;2021;4380
2104008;MA;Esperantinópolis;2021;22697
