ano;mes;uf;especie;abatidos
2022;2;MA;BOVINOS;34754
2022;2;MG;BOVINOS;146378
2022;2;MS;BOVINOS;240135
2022;2;MT;BOVINOS;324937
2022;2;PA;BOVINOS;181055
2022;2;PI;BOVINOS;130
2022;2;PR;BOVINOS;61742
2022;2;RJ;BOVINOS;3347
2022;2;RO;BOVINOS;148543
2022;2;RR;BOVINOS;1348
2022;2;RS;BOVINOS;54889
2022;2;SC;BOVINOS;7508
2022;2;SE;BOVINOS;205
2022;2;SP;BOVINOS;159060
2022;2;TO;BOVINOS;74790
2022;3;AC;BOVINOS;22678
2022;3;AM;BOVINOS;3392
2022;3;BA;BOVINOS;25637
2022;3;DF;BOVINOS;153
2022;3;ES;BOVINOS;7217
2022;3;GO;BOVINOS;221694
2022;3;MA;BOVINOS;36588
2022;3;MG;BOVINOS;180878
2022;3;MS;BOVINOS;272647
2022;3;MT;BOVINOS;322741
2022;3;PA;BOVINOS;189719
2022;3;PB;BOVINOS;19
2022;3;PI;BOVINOS;197
2022;3;PR;BOVINOS;70464
2022;3;RJ;BOVINOS;3969
2022;3;RO;BOVINOS;162879
2022;3;RR;BOVINOS;97
2022;3;RS;BOVINOS;50893
2022;3;SC;BOVINOS;9495
2022;3;SE;BOVINOS;251
2022;3;SP;BOVINOS;203577
2022;3;TO;BOVINOS;84165
2022;4;AC;BOVINOS;19086
2022;4;AM;BOVINOS;3520
2022;4;AP;BOVINOS;9
2022;4;BA;BOVINOS;23084
2022;4;DF;BOVINOS;133
2022;4;ES;BOVINOS;7805
2022;4;GO;BOVINOS;197007
2022;4;MA;BOVINOS;32535
2022;4;MG;BOVINOS;168412
2022;4;MS;BOVINOS;243771
2022;4;MT;BOVINOS;286339
2022;4;PA;BOVINOS;174444
2022;4;PI;BOVINOS;90
2022;4;PR;BOVINOS;66344
2022;4;RJ;BOVINOS;3376
2022;4;RO;BOVINOS;146152
2022;4;RS;BOVINOS;37538
2022;4;SC;BOVINOS;7142
2022;4;SE;BOVINOS;64
2022;4;SP;BOVINOS;188439
2022;4;TO;BOVINOS;75406
2022;5;AC;BOVINOS;22851
2022;5;AM;BOVINOS;4668
2022;5;BA;BOVINOS;25400
2022;5;CE;BOVINOS;31
2022;5;DF;BOVINOS;184
2022;5;ES;BOVINOS;10009
2022;5;GO;BOVINOS;240820
2022;5;MA;BOVINOS;33022
2022;5;MG;BOVINOS;197957
2022;5;MS;BOVINOS;282333
2022;5;MT;BOVINOS;380773
2022;5;PA;BOVINOS;185909
2022;5;PI;BOVINOS;505
2022;5;PR;BOVINOS;71324
2022;5;RJ;BOVINOS;2958
2022;5;RO;BOVINOS;162277
2022;5;RS;BOVINOS;38810
2022;5;SC;BOVINOS;7928
2022;5;SE;BOVINOS;80
2022;5;SP;BOVINOS;206444
2022;5;TO;BOVINOS;86375
2022;6;AC;BOVINOS;21341
2022;6;AM;BOVINOS;4022
2022;6;BA;BOVINOS;27081
2022;6;DF;BOVINOS;188
2022;6;ES;BOVINOS;8971
2022;6;GO;BOVINOS;241591
2022;6;MA;BOVINOS;30684
2022;6;MG;BOVINOS;181558
2022;6;MS;BOVINOS;266950
2022;6;MT;BOVINOS;401770
2022;6;PA;BOVINOS;170000
2022;6;PI;BOVINOS;333
2022;6;PR;BOVINOS;66703
2022;6;RJ;BOVINOS;3100
2022;6;RO;BOVINOS;159908
2022;6;RS;BOVINOS;36755
2022;6;SC;BOVINOS;6946
2022;6;SP;BOVINOS;207971
2022;6;TO;BOVINOS;76407
2022;7;AC;BOVINOS;22203
2022;7;AM;BOVINOS;3960
2022;7;BA;BOVINOS;30921
2022;7;DF;BOVINOS;128
2022;7;ES;BOVINOS;7983
2022;7;GO;BOVINOS;246976
2022;7;MA;BOVINOS;31121
2022;7;MG;BOVINOS;187861
2022;7;MS;BOVINOS;266048
2022;7;MT;BOVINOS;423342
2022;7;PA;BOVINOS;178424
2022;7;PI;BOVINOS;558
2022;7;PR;BOVINOS;65585
2022;7;RJ;BOVINOS;2363
2022;7;RO;BOVINOS;181067
2022;7;RR;BOVINOS;183
2022;7;RS;BOVINOS;45065
2022;7;SC;BOVINOS;6197
2022;7;SP;BOVINOS;206613
2022;7;TO;BOVINOS;84291
2022;8;AC;BOVINOS;23860
2022;8;AM;BOVINOS;4434
2022;8;BA;BOVINOS;34140
2022;8;DF;BOVINOS;214
2022;8;ES;BOVINOS;8788
2022;8;GO;BOVINOS;260886
2022;8;MA;BOVINOS;35149
2022;8;MG;BOVINOS;197590
2022;8;MS;BOVINOS;266060
2022;8;MT;BOVINOS;417204
2022;8;PA;BOVINOS;168457
2022;8;PE;BOVINOS;466
2022;8;PI;BOVINOS;146
2022;8;PR;BOVINOS;72437
2022;8;RJ;BOVINOS;1651
2022;8;RO;BOVINOS;186349
2022;8;RR;BOVINOS;2389
2022;8;RS;BOVINOS;69684
2022;8;SC;BOVINOS;6099
2022;8;SP;BOVINOS;238357
2022;8;TO;BOVINOS;87877
2022;9;AC;BOVINOS;18212
2022;9;AM;BOVINOS;3499
2022;9;BA;BOVINOS;31394
2022;9;DF;BOVINOS;174
2022;9;ES;BOVINOS;6489
2022;9;GO;BOVINOS;242626
2022;9;MA;BOVINOS;30319
2022;9;MG;BOVINOS;188666
2022;9;MS;BOVINOS;240470
2022;9;MT;BOVINOS;405616
2022;9;PA;BOVINOS;160942
2022;9;PE;BOVINOS;1548
2022;9;PR;BOVINOS;63470
2022;9;RJ;BOVINOS;646
2022;9;RN;BOVINOS;136
2022;9;RO;BOVINOS;165987
2022;9;RR;BOVINOS;56
2022;9;RS;BOVINOS;77285
2022;9;SC;BOVINOS;6779
2022;9;SP;BOVINOS;224125
2022;9;TO;BOVINOS;85609
